effect,priority,shield_time,effect_point_type,icon_pro,object,para1,damage,skill_effect_type,rate,skill_anim,effect_num_des,scale,name,attached_skill,des,icon,id,health_enable,effect_des,level,group,trigger,shield,cost,effect_num,type2,power,cure,anger,status,effect_path,type,type_des,object_num
"40001|40001|40001|40001|40001|40001|40001","","","","",0,"","","","","","40001","0","160082","","160218","skill_icon_1002",103101,"","7|9|11|13|15|17|20","5","","","","","7|9|11|13|15|17|20","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","","0","","","","skill_icon_1001",9100092,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"","1"
"","","","","UIPVEHeroAppear_img_skill_1004",0,"","","","","","","0","","","","skill_icon_1004",9100091,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"","1"
"","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","35105","0","160162","","163046","skill_icon_1003",9100090,"","5%|5%|5%|5%|5%|5%|5%|5%|5%|5%","1","","","","2|3|4|5","","","0|0|0|0|0","","","","",1,"163087","1"
"35109;40010|35109;40010|35109;40010|35109;40010|35109;40010|35109;40010|35109;40010|35109;40010|35109;40010|35109;40010","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","35109|40010","0","163255","","163252","skill_icon_035",9100089,"","1.5%;10%|3%;15%|4.5%;20%|6%;25%|7.5%;30%|9%;10%|10.5%;15%|12%;20%|13.5%;25%|15%;30%","10","","","","2|3|4|5","3;3|6;6|9;9|12;12|15;15|18;18|21;21|24;24|27;27|30;30","","0|0|0|0|0","","","","",2,"163087","1"
"35000|35000|35000|35000|35000|35000|35000|35000|35000|35000","","","1","UIPVEHeroAppear_img_skill_1003",0,"","","2","","VFX_pve_skill_timeline","35000","0","160058","","163201","skill_icon_020",9100088,"","2.5%|3%|3.5%|4%|4.5%|5%|5.5%|6%|6.5%|7%","10","","","","2|3|4|5","1|2|3|4|5|6|7|8|9|10","","0|0|0|0|0","","","","",2,"163087","1"
"30077;30082|30077;30082|30077;30082|30077;30082|30077;30082|30077;30082|30077;30082|30077;30082|30077;30082|30077;30082","","","1","UIPVEHeroAppear_img_skill_1001",0,"","","2","","","30077|30082","0","163206","","163208","skill_icon_001",9100087,"","3%;10%|6%;15%|9%;20%|12%;25%|15%;30%|18%;10%|21%;15%|24%;20%|27%;25%|30%;30%","10","","","","2|3|4|5","3;3|6;6|9;9|12;12|15;15|18;18|21;21|24;24|27;27|30;30","","0|0|0|0|0","","","","",1,"163087","1"
"","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","","0","","","","skill_icon_1003",9100085,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"","1"
"","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","35105","0","160150","","163046","skill_icon_1001",9100084,"","5%|5%|5%|5%|5%|5%|5%|5%|5%|5%","1","","","","2|3|4|5","","","0|0|0|0|0","","","","",1,"163087","1"
"30109|30109|30109|30109|30109|30109|30109|30109|30109|30109","","","","UIPVEHeroAppear_img_skill_1004",0,"","","","","","30109","0","164006","","164005","skill_icon_007",9100083,"","1.5%|3%|4.5%|6%|7.5%|9%|10.5%|12%|13.5%|15%","10","","","","2|3|4|5","1.5|3|4.5|6|7.5|9|10.5|12|13.5|15","","0|0|0|0|0","","","","",1,"163087","1"
"30100|30100|30100|30100|30100|30100|30100|30100|30100|30100","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","30100","0","160048","","163052","skill_icon_1001",9100134,"","6min|12min|18min|24min|30min|36min|42min|48min|54min|60min","10","","","","2|3|4|5","360|720|1080|1440|1800|2160|2520|2880|3240|3600","","0|0|0|0|0","","","","",1,"163087","1"
"40105|40105|40105|40105|40105|40105|40105|40105|40105|40105","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","40105","0","163229","","163236","skill_icon_028",9100135,"","3%|6%|9%|12%|15%|18%|21%|24%|27%|30%","10","","","","2|3|4|5","3|6|9|12|15|18|21|24|27|30","","0|0|0|0|0","","","","",2,"163087","1"
"","","","1","UIPVEHeroAppear_img_skill_1004",0,"160126","","2","","VFX_pve_skill_timeline","35064","0","163277","","163273","skill_icon_1004",9100136,"","1%|2%|3%|4%|5%|6%|7%|8%|9%|10%","10","","","","2|3|4|5","","","0|0|0|0|0","","","600051","",11,"150165","1"
"35004|35004|35004|35004|35004|35004|35004|35004|35004|35004","","","1","UIPVEHeroAppear_img_skill_1001",0,"","","2","","VFX_pve_skill_timeline","35004","0","160078","","163202","skill_icon_022",9100137,"","5%|5%|5%|5%|5%|5%|5%|5%|5%|5%","1","","","","2|3|4|5","5|5|5|5|5|5|5|5|5|5","11","0|0|0|0|0","","","","",2,"163088","1"
"30072;30073|30072;30073|30072;30073|30072;30073|30072;30073|30072;30073|30072;30073|30072;30073|30072;30073|30072;30073","","","1","UIPVEHeroAppear_img_skill_1001",0,"","","2","","","30072|30073","0","163205","","163207","skill_icon_006",9100138,"","3%;10%|6%;15%|9%;20%|12%;25%|15%;30%|18%;10%|21%;15%|24%;20%|27%;25%|30%;30%","10","","","","2|3|4|5","3;3|6;6|9;9|12;12|15;15|18;18|21;21|24;24|27;27|30;30","","0|0|0|0|0","","","","",1,"163087","1"
"35004|35004|35004|35004|35004|35004|35004|35004|35004|35004","","","1","UIPVEHeroAppear_img_skill_1003",0,"","","2","","VFX_pve_skill_timeline","35004","0","160166","","163202","skill_icon_019",9100139,"","2.5%|3%|3.5%|4%|4.5%|5%|5.5%|6%|6.5%|7%","10","","","","2|3|4|5","1|2|3|4|5|6|7|8|9|10","","0|0|0|0|0","","","","",2,"163087","1"
"30109|30109|30109|30109|30109|30109|30109|30109|30109|30109","","","","UIPVEHeroAppear_img_skill_1004",0,"","","","","","30109","0","164007","","164005","skill_icon_007",9100140,"","5%|10%|15%|20%|25%|30%|35%|40%|45%|50%","10","","","","2|3|4|5","5|10|15|20|25|30|35|40|45|50","","0|0|0|0|0","","","","",1,"163087","1"
"","","","","UIPVEHeroAppear_img_skill_1004",0,"","","","","","35104","0","160194","","163045","skill_icon_1004",9100141,"","10%|10%|10%|10%|10%|10%|10%|10%|10%|10%","1","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"163087","1"
"","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","","0","","","","skill_icon_1001",9100142,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"","1"
"","","","1","UIPVEHeroAppear_img_skill_1002",1,"","180|210|240|270|300|330|360|390|420|450","2","","","35070","0","160148","","163005","skill_icon_1002",9100143,"","180%|210%|240%|270%|300%|330%|360%|390%|420%|450%","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",11,"150165","1"
"30109|30109|30109|30109|30109|30109|30109|30109|30109|30109","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","30109","0","164008","","164005","skill_icon_007",9100144,"","7.5%|15%|22.5%|30%|37.5%|45%|52.5%|60%|67.5%|75%","10","","","","2|3|4|5","7.5|15|22.5|30|37.5|45|52.5|60|67.5|75","","0|0|0|0|0","","","","",1,"163087","1"
"40050|40050|40050|40050|40050|40050|40050|40050|40050|40050","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","40050","0","163245","","163246","skill_icon_032",9100145,"","1%|2%|3%|4%|5%|6%|7%|8%|9%|10%","10","","","","2|3|4|5","1|2|3|4|5|6|7|8|9|10","","0|0|0|0|0","","","","",1,"163087","1"
"","","","1","UIPVEHeroAppear_img_skill_1004",0,"160148","","2","","VFX_pve_skill_timeline","35004","0","160150","","163259","skill_icon_022",9100146,"","1%|2%|3%|4%|5%|6%|7%|8%|9%|10%","10","","","","2|3|4|5","","","0|0|0|0|0","","","600047","",11,"150165","1"
"","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","35111","0","160156","","163041","skill_icon_1001",9100147,"","30%|30%|30%|30%|30%|30%|30%|30%|30%|30%","1","","","","2|3|4|5","","","0|0|0|0|0","","","","",1,"163087","1"
"40103|40103|40103|40103|40103|40103|40103|40103|40103|40103","","","","UIPVEHeroAppear_img_skill_1002",0,"","","","","","40103","0","163227","","163224","skill_icon_028",9100148,"","0.5%|1%|1.5%|2%|2.5%|3%|3.5%|4%|4.5%|5%","10","","","","2|3|4|5","0.5|1|1.5|2|2.5|3|3.5|4|4.5|5","","0|0|0|0|0","","","","",1,"163087","1"
"35000|35000|35000|35000|35000|35000|35000|35000|35000|35000","","","1","UIPVEHeroAppear_img_skill_1001",0,"","","2","","VFX_pve_skill_timeline","35000","0","160058","","163201","skill_icon_020",9100149,"","2.5%|3%|3.5%|4%|4.5%|5%|5.5%|6%|6.5%|7%","10","","","","2|3|4|5","1|2|3|4|5|6|7|8|9|10","","0|0|0|0|0","","","","",2,"163087","1"
"30062;40010|30062;40010|30062;40010|30062;40010|30062;40010|30062;40010|30062;40010|30062;40010|30062;40010|30062;40010","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","30062|40010","0","163253","","163250","skill_icon_037",9100150,"","3%;10%|6%;15%|9%;20%|12%;25%|15%;30%|18%;10%|21%;15%|24%;20%|27%;25%|30%;30%","10","","","","2|3|4|5","1.5;3|3;6|4.5;9|6;12|7.5;15|9;18|10.5;21|12;24|13.5;27|15;30","","0|0|0|0|0","","","","",2,"163087","1"
"35133|35133|35133|35133|35133|35133|35133|35133|35133|35133","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","35133","0","160088","","163079","skill_icon_1003",9100151,"","1%|2%|3%|4%|5%|6%|7%|8%|9%|10%","1","","","","2|3|4|5","1|2|3|4|5|6|7|8|9|10","","0|0|0|0|0","","","","",1,"163087","1"
"","","","","UIPVEHeroAppear_img_skill_1004",0,"","","","","","","0","","","","skill_icon_1004",9100152,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"","1"
"","","","","UIPVEHeroAppear_img_skill_1002",1,"","300|350|400|450|500|550|600|650|700|750","","","","35070|35072","0","160126","9200008","163270","skill_icon_1002",9100133,"","300%;120%|350%;140%|400%;160%|450%;180%|500%;200%|550%;220%|600%;240%|650%;260%|700%;280%|750%;300%","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",11,"150165","1"
"30004|30004|30004|30004|30004|30004|30004","6|7|8|9|10","","","",0,"","","","","","30004","0","160056","","160057","skill_icon_1003",105001,"","3%|4%|5%|6%|7%|8%|10%","5","8","","","","3|4|5|6|7|8|10","","100|200|300|400|500|600|700","","","","",1,"150163","1"
"30004|30004|30004|30004|30004|30004|30004","6|7|8|9|10","","","",0,"","","","","","30004","0","160056","","160057","skill_icon_1003",105002,"","7%|9%|11%|13%|15%|17%|20%","5","8","","","","7|9|11|13|15|17|20","","100|200|300|400|500|600|700","","","","",1,"150163","1"
"30004|30004|30004|30004|30004|30004|30004","6|7|8|9|10","","","",0,"","","","","","30004","0","160056","","160057","skill_icon_1003",105003,"","10%|13%|16%|19%|22%|25%|30%","5","8","","","","10|13|16|19|22|25|30","","100|200|300|400|500|600|700","","","","",1,"150163","1"
"35004|35004|35004|35004|35004|35004|35004|35004|35004|35004","","","1","UIPVEHeroAppear_img_skill_1001",0,"","","2","","VFX_pve_skill_timeline","35004","0","160040","","163202","skill_icon_022",9100129,"","1%|2%|3%|4%|5%|6%|7%|8%|9%|10%","10","","","","2|3|4|5","1|2|3|4|5|6|7|8|9|10","","0|0|0|0|0","","","","",2,"163087","1"
"30070|30070|30070|30070|30070|30070|30070|30070|30070|30070","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","30070","0","160020","","163055","skill_icon_1003",9100004,"","2%|4%|6%|8%|10%|12%|14%|16%|18%|20%","10","","","","2|3|4|5","2|4|6|8|10|12|14|16|18|20","","0|0|0|0|0","","","","",1,"163087","1"
"","","","1","UIPVEHeroAppear_img_skill_1004",1,"160000","","2","","VFX_pve_skill_timeline","35004","0","160006","","163260","skill_icon_019",9100005,"","1%|2%|3%|4%|5%|6%|7%|8%|9%|10%","10","","","","2|3|4|5","","","0|0|0|0|0","","","600048","",11,"150165","1"
"","","","","UIPVEHeroAppear_img_skill_1002",0,"","","","","","35103|40020","0","160004","","163031","skill_icon_1002",9100006,"","30%;100%|30%;100%|30%;100%|30%;100%|30%;100%|30%;100%|30%;100%|30%;100%|30%;100%|30%;100%","1","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"163087","1"
"","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","","0","","","","skill_icon_1003",9100007,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"","1"
"","","","","UIPVEHeroAppear_img_skill_1002",0,"","","","","","","0","","","","skill_icon_1002",9100014,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"","1"
"40104;40105|40104;40105|40104;40105|40104;40105|40104;40105|40104;40105|40104;40105|40104;40105|40104;40105|40104;40105","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","40104|40105","0","163228","","163240","skill_icon_1001",9100015,"","1.5%;3%|3%;6%|4.5%;9%|6%;12%|7.5%;15%|9%;3%|10.5%;6%|12%;9%|13.5%;12%|15%;15%","10","","","","2|3|4|5","1.5;1.5|3;3|4.5;4.5|6;6|7.5;7.5|9;9|10.5;10.5|12;12|13.5;13.5|15;15","","0|0|0|0|0","","","","",2,"163087","1"
"","","","","UIPVEHeroAppear_img_skill_1002",0,"","","","","","35071","0","160138","","163009","skill_icon_1002",9100016,"","250%|300%|350%|400%|450%|500%|550%|600%|650%|700%","10","","","","2|3|4|5","","","0|0|0|0|0","60|120|180|240|300|360|420|480|540|600","","","",11,"150165","1"
"30109|30109|30109|30109|30109|30109|30109|30109|30109|30109","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","30109","0","164009","","164005","skill_icon_007",9100017,"","15%|30%|45%|60%|75%|90%|105%|120%|135%|150%","10","","","","2|3|4|5","15|30|45|60|75|90|105|120|135|150","","0|0|0|0|0","","","","",1,"163087","1"
"","","","","UIPVEHeroAppear_img_skill_1004",0,"","","","","","","0","","","","skill_icon_1004",9100024,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"","1"
"30072;30073|30072;30073|30072;30073|30072;30073|30072;30073|30072;30073|30072;30073|30072;30073|30072;30073|30072;30073","","","1","UIPVEHeroAppear_img_skill_1001",0,"","","2","","","30072|30073","0","163205","","163207","skill_icon_006",9100025,"","2%;5%|4%;7%|6%;10%|8%;15%|10%;20%|12%;5%|14%;7%|16%;10%|18%;15%|20%;20%","10","","","","2|3|4|5","2;2|4;4|6;6|8;8|10;10|12;12|14;14|16;16|18;18|20;20","","0|0|0|0|0","","","","",1,"163087","1"
"35004|35004|35004|35004|35004|35004|35004|35004|35004|35004","","","1","UIPVEHeroAppear_img_skill_1003",0,"","","2","","VFX_pve_skill_timeline","35004","0","160098","","163202","skill_icon_019",9100026,"","0.5%|1%|1.5%|2%|2.5%|3%|3.5%|4%|4.5%|5%","10","","","","2|3|4|5","0.5|1|1.5|2|2.5|3|3.5|4|4.5|5","","0|0|0|0|0","","","","",2,"163087","1"
"30070|30070|30070|30070|30070|30070|30070|30070|30070|30070","","","","UIPVEHeroAppear_img_skill_1004",0,"","","","","","30070","0","160020","","163055","skill_icon_1004",9100027,"","1%|2%|3%|4%|5%|6%|7%|8%|9%|10%","10","","","","2|3|4|5","1|2|3|4|5|6|7|8|9|10","","0|0|0|0|0","","","","",1,"163087","1"
"35000|35000|35000|35000|35000|35000|35000|35000|35000|35000","","","1","UIPVEHeroAppear_img_skill_1002",0,"","","2","","","35000","0","160054","","163201","skill_icon_023",9100033,"","1%|2%|3%|4%|5%|6%|7%|8%|9%|10%","10","","","","2|3|4|5","1|2|3|4|5|6|7|8|9|10","","0|0|0|0|0","","","","",2,"163087","1"
"","","","","UIPVEHeroAppear_img_skill_1001",1,"160054","","","","","35095|35000","0","163278","9200009","163284","skill_icon_1001",9100034,"","100%;10%|100%;10%|100%;10%|100%;10%|100%;10%|100%;10%|100%;10%|100%;10%|100%;10%|100%;10%","1","","","","2|3|4|5","","11","0|0|0|0|0","","","600054","",11,"163088","1"
"","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","","0","","","","skill_icon_1003",9100035,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"","1"
"40101|40101|40101|40101|40101|40101|40101|40101|40101|40101","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","40101","0","163227","","163222","skill_icon_028",9100036,"","0.5%|1%|1.5%|2%|2.5%|3%|3.5%|4%|4.5%|5%","10","","","","2|3|4|5","0.5|1|1.5|2|2.5|3|3.5|4|4.5|5","","0|0|0|0|0","","","","",1,"163087","1"
"35004|35004|35004|35004|35004|35004|35004|35004|35004|35004","","","1","UIPVEHeroAppear_img_skill_1003",0,"","","2","","VFX_pve_skill_timeline","35004","0","160166","","163202","skill_icon_019",9100037,"","2.5%|3%|3.5%|4%|4.5%|5%|5.5%|6%|6.5%|7%","10","","","","2|3|4|5","1|2|3|4|5|6|7|8|9|10","","0|0|0|0|0","","","","",2,"163087","1"
"30173|30173|30173|30173|30173|30173|30173|30173|30173|30173","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","30173","0","164018","","164010","skill_icon_009",9100043,"","5|10|15|20|25|30|35|40|45|50","10","","","","2|3|4|5","5|10|15|20|25|30|35|40|45|50","","0|0|0|0|0","","","","",1,"163087","1"
"40049|40049|40049|40049|40049|40049|40049|40049|40049|40049","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","40049","0","160098","","163247","skill_icon_1003",9100044,"","50|100|150|200|250|300|350|400|450|500","10","","","","2|3|4|5","30|60|90|120|150|180|210|240|270|300","","0|0|0|0|0","","","","",1,"163087","1"
"35094|35094|35094|35094|35094|35094|35094|35094|35094|35094","","","1","UIPVEHeroAppear_img_skill_1004",0,"160074","","2","","VFX_pve_skill_timeline","35094","0","160060","","163264","skill_icon_1004",9100045,"","15%|30%|45%|60%|75%|90%|105%|120%|135%|150%","10","","","","2|3|4|5","15|30|45|60|75|90|105|120|135|150","","0|0|0|0|0","","","","",13,"163087","1"
"35007|35007|35007|35007|35007|35007|35007","","","","",0,"","","","","","35007","0","160156","","160219","skill_icon_1002",104001,"","3|4|5|6|7|8|10","5","","","","","3|4|5|6|7|8|10","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"35007|35007|35007|35007|35007|35007|35007","","","","",0,"","","","","","35007","0","160156","","160219","skill_icon_1002",104002,"","7|9|11|13|15|17|20","5","","","","","7|9|11|13|15|17|20","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"35007|35007|35007|35007|35007|35007|35007","","","","",0,"","","","","","35007","0","160156","","160219","skill_icon_1002",104003,"","10|13|16|19|22|25|30","5","","","","","10|13|16|19|22|25|30","","100|200|300|400|500|600|700","","","","",2,"150164","1"
"30172|30172|30172|30172|30172|30172|30172|30172|30172|30172","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","30172","0","164019","","164011","skill_icon_004",9100053,"","5|10|15|20|25|30|35|40|45|50","10","","","","2|3|4|5","5|10|15|20|25|30|35|40|45|50","","0|0|0|0|0","","","","",1,"163087","1"
"30071|30071|30071|30071|30071|30071|30071|30071|30071|30071","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","30071","0","160100","","163054","skill_icon_1003",9100054,"","2%|4%|6%|8%|10%|12%|14%|16%|18%|20%","10","","","","2|3|4|5","2|4|6|8|10|12|14|16|18|20","","0|0|0|0|0","","","","",1,"163087","1"
"","","","1","UIPVEHeroAppear_img_skill_1004",0,"160102","","2","","VFX_pve_skill_timeline","35065","0","160094","","163262","skill_icon_1004",9100055,"","1%|2%|3%|4%|5%|6%|7%|8%|9%|10%","10","","","","2|3|4|5","","","0|0|0|0|0","","","600050","",11,"150165","1"
"","","","","UIPVEHeroAppear_img_skill_1004",0,"","","","","","35136","0","160096","","163035","skill_icon_1004",9100056,"","5|5|5|5|5|5|5|5|5|5","1","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"163087","1"
"35024|35024|35024|35024|35024|35024|35024|35024|35024|35024","","","","UIPVEHeroAppear_img_skill_1004",0,"","","","","","35024","0","160106","","163275","skill_icon_1004",9100062,"","2%|4%|6%|8%|10%|12%|14%|16%|18%|20%","10","","","","2|3|4|5","2|4|6|8|10|12|14|16|18|20","","0|0|0|0|0","","","","",2,"163087","1"
"35094|35094|35094|35094|35094|35094|35094|35094|35094|35094","","","1","UIPVEHeroAppear_img_skill_1001",0,"160110","","2","","VFX_pve_skill_timeline","35094","0","160190","","163264","skill_icon_1001",9100063,"","300%|300%|300%|300%|300%|300%|300%|300%|300%|300%","1","","","","2|3|4|5","300|300|300|300|300|300|300|300|300|300","11","0|0|0|0|0","","","","",13,"163088","1"
"","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","35071","0","160024","","163009","skill_icon_1003",9100064,"","220%|240%|260%|280%|300%|320%|340%|360%|380%|400%","10","","","","2|3|4|5","","","0|0|0|0|0","20|40|60|80|100|120|140|160|180|200","","","",11,"150165","1"
"30109|30109|30109|30109|30109|30109|30109|30109|30109|30109","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","30109","0","164008","","164005","skill_icon_007",9100065,"","7.5%|15%|22.5%|30%|37.5%|45%|52.5%|60%|67.5%|75%","10","","","","2|3|4|5","7.5|15|22.5|30|37.5|45|52.5|60|67.5|75","","0|0|0|0|0","","","","",1,"163087","1"
"40102|40102|40102|40102|40102|40102|40102|40102|40102|40102","","","","UIPVEHeroAppear_img_skill_1004",0,"","","","","","40102","0","163226","","163220","skill_icon_027",9100066,"","1%|2%|3%|4%|5%|6%|7%|8%|9%|10%","10","","","","2|3|4|5","1|2|3|4|5|6|7|8|9|10","","0|0|0|0|0","","","","",1,"163087","1"
"","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","35003|35007","0","160130","","163001","skill_icon_1003",9100071,"","15;50|30;60|45;70|60;100|75;150|90;50|105;60|120;70|135;100|150;150","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"163087","1"
"","","","","UIPVEHeroAppear_img_skill_1004",0,"","","","","","35066|35003","0","160036","","163020","skill_icon_1004",9100072,"","15;100|30;120|45;150|60;200|75;300|90;100|105;120|120;150|135;200|150;300","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"163087","1"
"","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","35094","0","160128","","163038","skill_icon_1001",9100073,"","20%|20%|20%|20%|20%|20%|20%|20%|20%|20%","1","","","","2|3|4|5","","11","0|0|0|0|0","","","","",2,"163088","1"
"","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","","0","","","","skill_icon_1003",9100074,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"","1"
"","","","","UIPVEHeroAppear_img_skill_1004",1,"","","","","","","0","","","","skill_icon_1004",9100075,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",11,"","1"
"","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","","0","","","","skill_icon_1001",9100076,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"","1"
"","","","","UIPVEHeroAppear_img_skill_1002",0,"","","","","","","0","","","","skill_icon_1002",9100077,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",1,"","1"
"","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","","0","","","","skill_icon_1003",9100078,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"","1"
"","","","","UIPVEHeroAppear_img_skill_1004",0,"","","","","","","0","","","","skill_icon_1004",9100079,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",2,"","1"
"31002|31002|31002|31002|31002|31002|31002|31002|31002|31002","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","31002","0","163211","","163217","skill_icon_014",9100080,"","1%|2%|3%|4%|5%|6%|7%|8%|9%|10%","10","","","","2|3|4|5","1|2|3|4|5|6|7|8|9|10","","0|0|0|0|0","","","","",1,"163087","1"
"","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","","0","","","","skill_icon_1003",9100081,"","","10","","","","2|3|4|5","","","0|0|0|0|0","","","","",14,"","1"
"35000|35000|35000|35000|35000|35000|35000|35000|35000|35000","","","1","UIPVEHeroAppear_img_skill_1003",0,"","","2","","VFX_pve_skill_timeline","35000","0","160076","","163201","skill_icon_020",9100082,"","0.5%|1%|1.5%|2%|2.5%|3%|3.5%|4%|4.5%|5%","10","","","","2|3|4|5","1|2|3|4|5|6|7|8|9|10","","0|0|0|0|0","","","","",2,"163087","1"
"","","","1","",1,"","50|65|80|95|110|125|150","2","","","35070","0","160054","","160217","skill_icon_1002",103001,"","50%|65%|80%|95%|110%|125%|150%","7","","","","","","","100|200|300|400|500|600|700","","","","Assets/_Art/Effect/prefab/hero/Jiangjun/VFX_jiangjun_attack.prefab",11,"150165","1"
"","","","1","",1,"","57|74|91|108|125|142|170","2","","","35070","0","160054","","160217","skill_icon_1002",103002,"","57%|74%|91%|108%|125%|142%|170%","7","","","","","","","100|200|300|400|500|600|700","","","","Assets/_Art/Effect/prefab/hero/Jiangjun/VFX_jiangjun_attack.prefab",11,"150165","1"
"","","","1","",1,"","67|87|107|127|147|167|200","2","","","35070","0","160054","","160217","skill_icon_1002",103003,"","67%|87%|107%|127%|147%|167%|200%","7","","","","","","","100|200|300|400|500|600|700","","","","Assets/_Art/Effect/prefab/hero/Jiangjun/VFX_jiangjun_attack.prefab",11,"150165","1"
"","","","1","",1,"","133|173|213|253|293|333|400","2","","","35070","0","160054","","160217","skill_icon_1002",103004,"","133%|173%|213%|253%|293%|333%|400%","7","","","","","","","100|200|300|400|500|600|700","","","","Assets/_Art/Effect/prefab/hero/Jiangjun/VFX_jiangjun_attack.prefab",11,"150165","1"
"","","","1","",1,"","150|195|240|285|330|375|450","2","","","35070","0","160054","","160217","skill_icon_1002",103005,"","150%|195%|240%|285%|330%|375%|450%","7","","","","","","","100|200|300|400|500|600|700","","","","Assets/_Art/Effect/prefab/hero/Jiangjun/VFX_jiangjun_attack.prefab",11,"150165","1"
"","","","1","",1,"","167|217|267|317|367|417|500","2","","","35070","0","160054","","160217","skill_icon_1002",103006,"","167%|217%|267%|317%|367%|417%|500%","7","","","","","","","100|200|300|400|500|600|700","","","","Assets/_Art/Effect/prefab/hero/Jiangjun/VFX_jiangjun_attack.prefab",11,"150165","1"
"","","","1","",1,"","167|217|267|317|367|417|500","2","","","35070","0","160054","","160217","skill_icon_1002",103007,"","167%|217%|267%|317%|367%|417%|500%","7","","","","","","","100|200|300|400|500|600|700","","","","Assets/_Art/Effect/prefab/hero/Jiangjun/VFX_jiangjun_attack.prefab",11,"150165","1"
"","","","1","",1,"","167|217|267|317|367|417|500","2","","","35070","0","160054","","160217","skill_icon_1002",103008,"","167%|217%|267%|317%|367%|417%|500%","7","","","","","","","100|200|300|400|500|600|700","","","","Assets/_Art/Effect/prefab/hero/Jiangjun/VFX_jiangjun_attack.prefab",11,"150165","1"
"","","","1","",1,"","200|260|320|380|440|500|600","2","","","35070","0","160054","","160217","skill_icon_1002",103009,"","200%|260%|320%|380%|440%|500%|600%","7","","","","","","","100|200|300|400|500|600|700","","","","Assets/_Art/Effect/prefab/hero/Jiangjun/VFX_jiangjun_attack.prefab",11,"150165","1"
